D,L,P,G,Tin,X,CHF,CHF_LUT,CHF_NN
0.004,0.396,100,77.5,23.94,0.84,442,469.0946386,485.8004
0.004,0.396,100,142.7,23.94,0.79,757,687.0899317,838.8955
0.004,0.396,100,203.9,23.94,0.7,978,903.6294333,1001.399
0.004,0.396,100,271.8,23.94,0.73,1325,873.6220843,1414.337
0.004,0.396,100,421.3,23.94,0.62,1798,1372.801147,1867.432
0.004,0.396,100,543.6,23.94,0.58,2239,1459.50098,2250.749
0.004,0.396,100,679.5,23.94,0.55,2712,1403.393414,2594.019
0.004,0.396,100,978.5,23.94,0.5,3564,1661.545372,3317.775
0.004,0.396,100,1372.7,23.94,0.45,4573,1548.745436,4278.722
0.004,0.396,100,1644.5,23.94,0.42,5236,1621.250185,4854.55
0.004,0.594,100,77.5,22.27,0.88,300,429.0723948,328.5057
0.004,0.594,100,135.9,22.27,0.81,505,648.4106251,521.3902
0.004,0.594,100,203.9,22.27,0.75,694,797.6825637,722.6959
0.004,0.594,100,258.2,20.6,0.71,852,910.5842528,916.1509
0.004,0.594,100,407.7,20.6,0.63,1199,1312.347052,1261.197
0.004,0.594,100,543.6,20.6,0.6,1514,1397.222635,1544.593
0.004,0.594,100,693.1,20.6,0.58,1892,1152.173705,2039.804
0.004,0.594,100,992.1,20.6,0.56,2618,1090.355715,2712.738
0.004,0.792,100,78.8,20.6,0.74,196,599.7917306,253.596
0.004,0.792,100,135.9,20.6,0.76,347,745.3352365,420.9425
0.004,0.792,100,217.5,20.6,0.72,536,868.1362085,568.5927
0.004,0.792,100,244.6,20.6,0.75,631,816.8207622,623.0134
0.004,0.792,100,407.7,21.08,0.64,915,1253.623956,942.7623
0.004,0.792,100,543.6,21.08,0.6,1135,1397.222635,1175.093
0.004,0.792,100,706.7,21.08,0.58,1451,1124.216174,1565.284
0.004,0.792,100,720.3,22.27,0.59,1482,1008.843896,1649.195
0.004,0.792,100,203.9,22.27,0.75,505,797.6825637,542.3349
0.004,0.991,100,78.8,21.08,0.95,196,207.3802768,218.7561
0.004,0.991,100,135.9,21.08,0.89,315,524.9164057,314.9392
0.004,0.991,100,203.9,21.08,0.8,442,691.735694,474.2177
0.004,0.991,100,271.8,21.08,0.81,568,699.2453094,561.9402
0.004,0.991,100,421.3,21.08,0.72,820,850.3792016,727.3865
0.004,0.991,100,421.3,21.08,0.74,820,806.2046853,727.3865
0.004,0.991,100,421.3,21.08,0.7,789,894.5537178,715.2048
0.004,0.991,100,421.3,21.08,0.79,883,695.7683947,976.7213
0.0048,0.478,100,69.3,23.47,0.99,442,34.06030654,491.8526
0.0048,0.478,100,135.9,23.47,0.83,757,563.7316391,710.8884
0.0048,0.478,100,203.9,23.47,0.74,1041,747.5243866,965.0735
0.0048,0.478,100,285.4,23.47,0.69,1325,907.8998502,1220.064
0.0048,0.478,100,407.7,23.47,0.58,1672,1376.977777,1626.622
0.0048,0.478,100,543.6,23.47,0.55,2145,1417.614151,2099.652
0.0048,0.478,100,665.9,23.47,0.54,2586,1358.759367,2681.333
0.0048,0.478,100,706.7,23.47,0.53,2649,1405.486395,2617.212
0.0048,0.478,100,937.8,23.47,0.48,3280,1631.620132,3223.203
0.0048,0.478,100,1386.3,23.47,0.43,4510,1561.447148,4249.833
0.0048,0.716,100,135.9,21.79,0.89,536,479.180927,536.491
0.0048,0.716,100,203.9,23.94,0.77,694,689.4948961,691.2537
0.0048,0.716,100,271.8,23.94,0.71,883,837.6807257,906.6456
0.0048,0.716,100,407.7,23.94,0.63,1167,1198.003473,1193.515
0.0048,0.716,100,557.2,23.94,0.6,1545,1242.054398,1759.257
0.0048,0.716,100,665.9,23.94,0.59,1829,1038.846553,1967.21
0.0048,0.716,100,951.4,23.94,0.55,2492,1102.664695,2612.274
0.0048,0.716,100,937.8,23.94,0.55,2429,1109.93351,2597.558
0.0048,0.716,100,1413.4,23.94,0.53,3532,921.7415829,3518.644
0.0048,0.955,100,203.9,23.94,0.93,631,327.7131959,633.06
0.0048,0.955,100,271.8,23.94,0.75,694,757.327682,685.3752
0.0048,0.955,100,407.7,23.94,0.68,946,929.9704331,866.1235
0.0048,0.955,100,543.6,23.94,0.63,1199,1114.320722,1165.188
0.0048,0.955,100,679.5,23.94,0.64,1482,806.8343498,1465.788
0.0048,0.955,100,951.4,23.94,0.55,1861,1102.664695,1836.141
0.0048,0.955,100,1100.9,23.94,0.49,1987,1462.707761,2220.018
0.00384,0.799,7840,3862,260.22,0.268,2620,2488.092546,2607.627
0.00384,0.799,7840,3934,211.74,0.165,3061,3234.107577,3256.362
0.00384,0.799,7840,3934,240.12,0.214,2791,2883.923466,2910.193
